ticker,name,annual_return,original_annual_return,volatility,sharpe_ratio,current_price,avg_daily_value_rub,category,data_quality,investfunds_url,mgmt_fee,total_fee,nav_billions,return_1m,return_3m,return_6m,return_12m,return_36m,return_60m,bid_price,ask_price,volume_rub,depositary_name,management_fee,depositary_fee,other_expenses,total_expenses
SBHI,Первая - Фонд Халяльные инвестиции,3.79,3.79,23.03,-0.487,8.49,675892,Сбербанк,1.0,https://investfunds.ru/funds/7517/,0.8,1.0,0.395,5.6,8.85,-9.78,3.79,52.7,0.0,8.28,8.29,675892,"елок,",0.8,0.0,0.2,1.0
SBLB,Первая – Фонд Долгосрочные гособлигации,30.22,30.22,12.0,1.268,12.09,64000659,Сбербанк,1.0,https://investfunds.ru/funds/10331/,0.6,0.8,2.551,4.27,16.58,20.8,30.22,0.0,0.0,12.02,12.03,64000659,"елок,",0.6,0.0,0.2,0.8
SBMM,Первая - Фонд Сберегательный,21.86,21.86,4.19,1.639,16.5,3794865131,Сбербанк,1.0,https://investfunds.ru/funds/7373/,0.2,0.298,278.429,1.64,4.95,10.49,21.86,50.68,0.0,16.51,16.51,3794865131,"елок,",0.2,0.0,0.098,0.298
SBMX,Первая - Фонд Топ Российских акций,15.19,15.19,32.15,0.006,19.49,70413796,Сбербанк,1.0,https://investfunds.ru/funds/5247/,0.8,0.91,19.004,5.58,9.43,-5.89,15.19,73.24,36.66,19.11,19.11,70413796,"елок,",0.8,0.0,0.11,0.91
SBPS,Первая – Фонд Моя цель 2035,16.3,16.3,21.78,0.06,2.84,65120,Сбербанк,1.0,https://investfunds.ru/funds/6999/,1.0,1.8,0.063,4.02,7.95,0.27,16.3,0.0,0.0,2.81,2.82,65120,елки РЕПО,1.0,0.0,0.8,1.8
SBRB,Первая - Фонд Корпоративные облигации,23.26,23.26,11.98,0.69,16.64,83763456,Сбербанк,1.0,https://investfunds.ru/funds/5713/,0.6,0.7,8.25,2.46,8.47,15.56,23.26,37.86,52.18,16.68,16.69,83763456,"елок,",0.6,0.0,0.1,0.7
SBRI,Первая - Фонд Ответственные инвестиции,7.32,7.32,25.86,-0.297,12.76,652486,Сбербанк,1.0,https://investfunds.ru/funds/6469/,0.7,1.1,0.192,8.97,10.57,-6.52,7.32,37.95,0.0,12.39,12.43,652486,"елок,",0.7,0.0,0.4,1.1
SBRS,Первая – Фонд Осторожный смарт,20.77,20.77,24.46,0.236,13.22,312188,Сбербанк,1.0,https://investfunds.ru/funds/6997/,0.95,1.4,0.05,2.64,7.89,11.47,20.77,0.0,0.0,13.19,13.2,312188,"елок,",0.95,0.0,0.45,1.4
SBSC,Первая – Фонд Акции средней и малой капитализации,0.25,0.25,20.2,-0.73,8.78,5896644,Сбербанк,1.0,https://investfunds.ru/funds/9469/,1.0,1.3,0.213,7.88,11.92,-6.64,0.25,0.0,0.0,8.58,8.6,5896644,"елок,",1.0,0.0,0.3,1.3
SBWS,Первая – Фонд Вечный портфель,18.03,18.03,22.82,0.133,4.04,461833,Сбербанк,1.0,https://investfunds.ru/funds/7003/,1.5,2.5,0.256,3.86,8.31,6.19,18.03,0.0,0.0,4.01,4.02,461833,"елок,",1.5,0.0,1.0,2.5
TBEU,Т-Капитал облигации Е,15.73,15.73,9.72,0.075,9.82,490087,Т-Инвестиции,1.0,https://investfunds.ru/funds/7397/,0.6,0.65,0.079,1.49,4.26,8.2,15.73,100.4,0.0,9.82,9.84,490087,"елок,",0.6,0.0,0.05,0.65
TBRU,Т-Капитал Облигации,25.34,25.34,12.0,0.862,7.4,1121128,Т-Инвестиции,1.0,https://investfunds.ru/funds/7067/,1.5,1.54,4.795,3.94,12.06,18.69,25.34,46.42,0.0,7.38,7.41,1121128,"елок,",1.5,0.0,0.04,1.54
TDIV,Т-Капитал Дивидендные акции,8.88,8.88,27.1,-0.226,10.72,234459,Т-Инвестиции,1.0,https://investfunds.ru/funds/9585/,2.0,2.04,1.024,5.24,11.12,-2.43,8.88,0.0,0.0,10.52,10.54,234459,"елок,",2.0,0.0,0.04,2.04
TEUR,Т-Капитал – Стратегия вечного портфеля Е,17.38,0.0,14.95,0.159,5.94,234642,Т-Инвестиции,1.0,https://investfunds.ru/funds/5943/,0.965,0.985,0.657,1.41,4.52,8.69,0.0,-3.6,-33.68,5.91,5.93,234642,"елок,",0.965,0.0,0.02,0.985
TGLD,Т-Капитал Золото,17.64,17.64,23.82,0.111,10.7,1901439,Т-Инвестиции,1.0,https://investfunds.ru/funds/6329/,2.0,2.28,9.029,2.15,0.14,1.24,17.64,144.18,0.0,10.71,10.75,1901439,"елок,",2.0,0.0,0.28,2.28
TITR,Т-Капитал Российские Технологии,-13.28,-13.28,30.62,-0.923,6.76,120994,Т-Инвестиции,1.0,https://investfunds.ru/funds/10421/,2.0,2.04,0.459,5.52,10.07,-10.12,-13.28,0.0,0.0,6.65,6.68,120994,"елок,",2.0,0.0,0.04,2.04
TLCB,Т-Капитал Локальные валютные облигации,0.06,0.06,5.02,-2.977,10.09,11772053,Т-Инвестиции,1.0,https://investfunds.ru/funds/9627/,1.5,1.54,10.831,3.69,2.07,-0.98,0.06,0.0,0.0,10.1,10.12,11772053,"елок,",1.5,0.0,0.04,1.54
TMON,Т-Капитал Денежный Рынок,20.86,20.86,4.09,1.434,141.24,4050769,Т-Инвестиции,1.0,https://investfunds.ru/funds/8628/,1.0,1.089,204.553,1.55,4.68,9.89,20.86,0.0,0.0,141.48,141.58,4050769,елок и,1.0,0.0,0.089,1.089
TMOS,Т-Капитал Индекс МосБиржи,14.92,14.92,31.94,-0.003,6.79,24719169,Т-Инвестиции,1.0,https://investfunds.ru/funds/6333/,0.7,0.74,12.476,5.51,9.35,-5.78,14.92,72.52,0.0,6.63,6.64,24719169,"елок,",0.7,0.0,0.04,0.74
TOFZ,Т-Капитал ОФЗ,39.0,0.0,12.0,2.0,13.32,300352,Т-Инвестиции,1.0,https://investfunds.ru/funds/11445/,1.5,1.54,3.572,3.22,15.0,19.5,0.0,0.0,0.0,13.22,13.31,300352,"елок,",1.5,0.0,0.04,1.54
TPAY,Т-Капитал Пассивный Доход,1.07,1.07,12.64,-1.102,101.28,701745433,Т-Инвестиции,1.0,https://investfunds.ru/funds/10745/,0.9,0.98,22.849,1.42,4.14,4.78,1.07,0.0,0.0,101.34,101.36,701745433,"елок,",0.9,0.0,0.08,0.98
TRND,Т-Капитал Трендовые акции,52.0,0.0,40.0,0.925,10.02,17868312,Т-Инвестиции,1.0,https://investfunds.ru/funds/11925/,2.0,2.04,0.215,5.13,13.0,0.0,0.0,0.0,0.0,9.81,9.82,17868312,"елок,",2.0,0.0,0.04,2.04
TRUR,Т-Капитал – Стратегия вечного портфеля в рублях,22.44,22.44,25.0,0.298,9.34,321756511,Т-Инвестиции,1.0,https://investfunds.ru/funds/5945/,2.0,2.08,16.979,3.21,7.77,5.65,22.44,69.63,62.39,9.28,9.29,321756511,елкам,2.0,0.0,0.08,2.08
TUSD,Т-Капитал – Стратегия вечного портфеля Д,17.38,0.0,14.95,0.159,6.16,2789798,Т-Инвестиции,1.0,https://investfunds.ru/funds/5941/,0.965,0.985,1.437,1.44,4.41,8.69,0.0,1.07,-20.92,6.14,6.15,2789798,"елок,",0.965,0.0,0.02,0.985
BCSB,БКС Облигации повышенной доходности,22.8,22.8,11.84,0.659,14.81,2660900,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6751/,0.99,1.19,0.374,3.21,11.27,17.35,22.8,44.49,0.0,14.87,14.89,2660900,"елок,",0.99,0.0,0.2,1.19
BCSD,БКС Денежный рынок,21.63,21.63,4.16,1.593,12.26,1874727275,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/10831/,0.1,0.3,31.74,1.66,4.97,10.45,21.63,0.0,0.0,12.27,12.27,1874727275,елкам,0.1,0.0,0.2,0.3
BCSG,БКС Золото,13.2,0.0,21.6,-0.083,10.33,268481,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12179/,0.35,0.85,0.123,2.28,3.3,0.0,0.0,0.0,0.0,10.35,10.37,268481,"елок,",0.35,0.0,0.5,0.85
BCSR,БКС Индекс Российского рынка,-11.02,0.0,28.82,-0.903,12.18,1778764,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11411/,0.7,0.8,0.113,4.64,8.36,-5.51,0.0,0.0,0.0,11.92,11.97,1778764,"елок,",0.7,0.0,0.1,0.8
BCSW,БКС Всепогодный портфель,25.04,0.0,25.0,0.402,10.7,206780,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12009/,1.8,2.3,0.248,3.78,6.26,0.0,0.0,0.0,0.0,10.64,10.65,206780,"елок,",1.8,0.0,0.5,2.3
MONY,АК БАРС – Денежный рынок,20.5,0.0,4.05,1.358,113.49,22921,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11499/,0.2,0.7,0.043,1.61,4.85,10.25,0.0,0.0,0.0,113.44,113.52,22921,елкам,0.2,0.0,0.5,0.7
BOND,ДОХОДЪ Сбондс Корпоративные облигации РФ,25.2,25.2,12.0,0.85,1457.62,3199330,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/8003/,0.31,0.32,0.639,3.48,10.28,17.2,25.2,45.86,0.0,1463.0,1463.2,3199330,"елок,",0.31,0.0,0.01,0.32
CASH,Ежедневный процент,20.46,0.0,4.05,1.349,11.68,154309904,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11387/,0.2,0.4,6.504,1.61,4.85,10.23,0.0,0.0,0.0,11.69,11.69,154309904,елок (не,0.2,0.0,0.2,0.4
CNYM,Ликвидность. Юань,-6.02,-6.02,10.41,-2.02,124.91,9016969,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/9913/,0.2,0.42,3.488,2.0,-0.42,-7.93,-6.02,0.0,0.0,125.43,125.59,9016969,елок обратного,0.2,0.0,0.22,0.42
DIVD,ДОХОДЪ Индекс дивидендных акций,11.3,11.3,29.04,-0.127,1227.94,2405844,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6625/,0.5,0.59,1.105,6.18,8.81,-6.0,11.3,58.88,0.0,1205.0,1209.0,2405844,"елок,",0.5,0.0,0.09,0.59
FMMM,Финам - Денежный рынок,20.12,0.0,4.01,1.276,11.82,115416318,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11093/,0.2,0.35,3.613,1.46,4.69,10.06,0.0,0.0,0.0,11.83,11.83,115416318,"елок,",0.2,0.0,0.15,0.35
GOOD,ДОХОДЪ. Стратегии денежного рынка,24.6,0.0,4.46,2.152,1181.6,892336,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11617/,0.48,0.49,0.1,1.96,6.52,12.3,0.0,0.0,0.0,1181.5,1184.8,892336,елкам,0.48,0.0,0.01,0.49
GROD,ДОХОДЪ Индекс акций роста,9.75,9.75,27.8,-0.189,873.67,215260,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7011/,0.5,0.59,0.211,7.78,12.79,-1.14,9.75,42.48,0.0,855.5,861.0,215260,"елок,",0.5,0.0,0.09,0.59
MKBD,МКБ – Российские Дивидендные Акции,6.03,6.03,24.82,-0.361,1075.24,191063,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7099/,0.55,0.7,0.18,4.05,9.31,-5.82,6.03,51.0,0.0,1056.0,1061.0,191063,"елок,",0.55,0.0,0.15,0.7
OBLG,Российские облигации,26.56,26.56,12.0,0.963,182.19,69071845,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/5433/,0.52,0.62,4.692,3.11,10.81,17.57,26.56,40.34,54.03,182.4,182.42,69071845,"елок,",0.52,0.0,0.1,0.62
PRIE,"РСХБ – Облигации, вектор И.Эс.Джи",4.23,4.23,6.27,-1.718,897.28,2357998,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6857/,0.45,0.8,0.049,4.62,3.23,-2.29,4.23,0.0,0.0,894.0,898.0,2357998,"елок,",0.45,0.0,0.35,0.8
RSHU,РСХБ – Корпоративные облигации смарт бета,6.5,6.5,6.95,-1.223,126.68,1431139,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/5955/,0.42,0.72,0.619,5.83,4.75,1.34,6.5,0.0,29.18,127.26,127.28,1431139,"елок,",0.42,0.0,0.3,0.72
SIPO,Первая – Фонд АйПиО,-10.55,-10.55,28.44,-0.898,8.36,467159,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/10795/,1.0,1.3,0.078,4.4,6.45,-10.51,-10.55,0.0,0.0,8.15,8.21,467159,"елок,",1.0,0.0,0.3,1.3
SMCF,СОЛИД – Денежный поток,3.32,0.0,2.33,-5.009,1015.97,6106385,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11839/,0.9,1.1,0.088,1.06,3.83,1.66,0.0,0.0,0.0,1014.5,1019.0,6106385,елки РЕПО.,0.9,0.0,0.2,1.1
SPAY,Первая – Фонд Ежемесячный доход,16.08,0.0,21.65,0.05,1018.09,27050543,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12447/,1.0,1.2,2.955,1.34,0.0,0.0,0.0,0.0,0.0,1021.2,1021.3,27050543,"елок,",1.0,0.0,0.2,1.2
SUGB,РЕГИОН - Индекс МосБиржи государственных облигаций (1-3 года),24.15,24.15,12.0,0.762,1373.8,492112,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6385/,0.45,0.6,0.521,2.27,10.27,14.59,24.15,29.56,0.0,1365.0,1370.0,492112,"елок,",0.45,0.0,0.15,0.6
PSGM,ПСБ – Золотой рынок,1.44,0.0,15.72,-0.863,9.96,157285,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12011/,0.75,0.95,0.025,2.27,0.36,0.0,0.0,0.0,0.0,9.95,10.0,157285,"елок,",0.75,0.0,0.2,0.95
PSMM,ПСБ – Денежный рынок,21.49,21.49,4.15,1.564,12.53,39375928,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/10509/,0.3,0.48,2.687,1.64,4.84,10.82,21.49,0.0,0.0,12.56,12.56,39375928,елок РЕПО,0.3,0.0,0.18,0.48
PSRB,ПСБ – Рублевые облигации,42.22,0.0,12.0,2.268,12.75,31768543,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/11429/,1.5,1.7,0.827,4.06,16.93,21.11,0.0,0.0,0.0,12.71,12.76,31768543,"елок,",1.5,0.0,0.2,1.7
PSRE,ПСБ – Российские акции,47.52,0.0,40.0,0.813,10.4,112519,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12483/,2.0,2.2,0.027,3.96,0.0,0.0,0.0,0.0,0.0,10.27,10.3,112519,"елок,",2.0,0.0,0.2,2.2
BNDA,ДОХОДЪ. Облигации до декабря 2025/2028/2031,25.8,0.0,12.0,0.9,1066.3,97413,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12115/,0.78,0.79,0.027,2.09,6.45,0.0,0.0,0.0,0.0,1070.9,1071.0,97413,"елок,",0.78,0.0,0.01,0.79
BNDB,ДОХОДЪ. Облигации до декабря 2026/2029/2032,37.16,0.0,12.0,1.847,1122.45,24808,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12087/,0.78,0.79,0.029,2.77,9.29,0.0,0.0,0.0,0.0,1121.4,1127.5,24808,"елок,",0.78,0.0,0.01,0.79
BNDC,ДОХОДЪ. Облигации до декабря 2027/2030/2033,42.04,0.0,12.0,2.253,1126.34,12426,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/12113/,0.78,0.79,0.038,3.24,10.51,0.0,0.0,0.0,0.0,1127.7,1129.6,12426,"елок,",0.78,0.0,0.01,0.79
EQMX,Индекс МосБиржи,14.25,14.25,31.4,-0.024,148.84,184766502,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6073/,0.5,0.6,12.239,4.97,8.95,-6.11,14.25,71.57,33.04,145.85,145.95,184766502,"елок,",0.5,0.0,0.1,0.6
ESGE,Устойчивое развитие российских компаний,8.35,8.35,26.68,-0.249,91.75,145073,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7285/,0.6,0.7,0.133,7.71,9.74,-6.87,8.35,43.81,0.0,89.37,89.6,145073,"елок,",0.6,0.0,0.1,0.7
ESGR,"РСХБ - Индекс МосБиржи - РСПП Вектор устойчивого развития, полной доходности, брутто",7.04,7.04,25.63,-0.311,1296.48,82553,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/6227/,0.8,1.25,0.064,8.72,10.42,-6.81,7.04,38.62,18.07,1262.5,1267.5,82553,елал карьеру,0.8,0.0,0.45,1.25
OPNB,Открытие – Облигации РФ,27.51,27.51,12.0,1.043,111.11,74217,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7193/,0.57,0.72,0.042,3.82,14.9,19.61,27.51,8.64,0.0,109.94,110.38,74217,"елок,",0.57,0.0,0.15,0.72
OPNR,Открытие – Акции РФ,18.61,18.61,34.89,0.103,114.86,63820,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7189/,0.82,0.92,0.096,4.99,14.58,3.72,18.61,84.57,0.0,112.14,112.48,63820,"елок,",0.82,0.0,0.1,0.92
SCFT,Технологии будущего,6.91,6.91,25.53,-0.317,5.03,49491,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7469/,0.65,0.8,0.013,7.74,9.53,-7.03,6.91,0.0,0.0,4.92,4.93,49491,Спецрегистратор,0.65,0.0,0.15,0.8
SCLI,Ликвидный,21.14,21.14,4.11,1.492,6.14,15961665,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/10711/,0.19,0.64,0.286,1.59,4.82,10.21,21.14,0.0,0.0,6.14,6.14,15961665,Спецрегистратор,0.19,0.0,0.45,0.64
INFL,Ингосстрах Инфляционный,17.24,17.24,22.34,0.1,123.14,131555,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7647/,0.15,0.25,0.67,2.11,9.73,12.22,17.24,7.84,0.0,123.0,123.32,131555,"елок,",0.15,0.0,0.1,0.25
INGO,Ингосстрах – корпоративные облигации,21.76,21.76,11.53,0.586,144.63,2543596,Смешанные (Регулярный доход),1.0,https://investfunds.ru/funds/7121/,0.15,0.25,2.942,2.34,8.35,14.3,21.76,34.28,0.0,144.5,144.7,2543596,"елок,",0.15,0.0,0.1,0.25
